,plate,make,color,year,total violations,brooklyn,bronx,queens,staten island,manhattan,unknown
152,GZE8673,HONDA,TN,1997,8,1,0,7,0,0,0
153,GZF8673,DODGE,GY,2005,11,0,10,0,0,1,0
154,GZH8673,BMW,BL,1997,2,0,2,0,0,0,0
155,GZM8673,TOYOT,RD,2015,1,0,0,0,0,1,0
156,GZN8673,TOYOT,GREY,0,1,0,0,0,1,0,0
157,GZR8673,CHEVR,BLACK,1999,1,1,0,0,0,0,0
158,GZT8673,ACURA,BLACK,2004,2,1,0,1,0,0,0
159,GZZ8673,CADIL,GY,2007,6,0,5,0,0,1,0
160,HAB8673,FORD,GY,2010,10,0,0,0,0,10,0
161,HAC8673,CADIL,WH,2009,1,0,0,0,0,1,0
162,HAE8673,DODGE,GY,2003.0,13,0,0,0,12,1,0
163,HAL8673,ACURA,BK,2003,5,3,0,1,0,1,0
164,HAM8673,HONDA,GY,2005,6,0,5,0,0,1,0
165,HAY8673,,BLUE,2015,10,0,10,0,0,0,0
166,HBF8673,TOYOT,WH,2005,7,0,0,7,0,0,0
167,HBN8673,HONDA,GR,1995.0,5,0,0,0,0,5,0
168,HBX8673,TOYOT,TN,1999,2,0,0,2,0,0,0
169,HBZ8673,BMW,BK,1995,3,3,0,0,0,0,0
170,HCE8673,ME/BE,BLACK,2015,1,0,0,1,0,0,0
171,HCF8673,HONDA,BK,2016,1,0,1,0,0,0,0
172,HCG8673,BUICK,GREY,0.0,7,2,0,0,0,5,0
173,HCM8673,BMW,WH,2012,1,0,0,1,0,0,0
174,HCP8673,FORD,BK,2016,5,3,0,2,0,0,0
175,HCX8673,SUBAR,GY,2016,1,0,0,1,0,0,0
176,HCZ8673,MITSU,GY,2001.0,6,0,0,6,0,0,0
177,HDB8673,ME/BE,WH,2006,1,0,0,1,0,0,0
178,HDC8673,BMW,BK,2006,6,5,0,1,0,0,0
179,HDE8673,HONDA,BR,2012,1,1,0,0,0,0,0
180,HDS8673,VOLKS,GY,2006,9,0,0,8,0,1,0
181,HDV8673,CHEVR,GY,2007.0,37,0,22,10,0,5,0
182,HDW8673,NISSA,GY,2014,13,6,1,6,0,0,0
183,HDY8673,NISSA,WH,2016,3,0,0,0,3,0,0
184,HEH8673,AUDI,BK,2017,1,0,0,0,0,1,0
185,HEJ8673,HONDA,BK,2016,1,0,0,0,0,1,0
186,HES8673,CHRYS,GY,2001.0,66,0,66,0,0,0,0
187,HEW8673,NISSA,RED,2015,2,0,0,0,2,0,0
188,HEY8673,BUICK,WH,2011,2,1,0,1,0,0,0
189,HFF8673,BUICK,BK,2014,2,0,0,2,0,0,0
190,HFG8673,CHRYS,TAN,2006.0,14,14,0,0,0,0,0
191,HFN8673,HONDA,GY,2013,8,0,6,0,0,2,0
192,HFP8673,HONDA,BLACK,2016.0,5,1,0,4,0,0,0
193,HFT8673,CHEVR,BLACK,2007,1,0,0,0,0,1,0
194,HFW8673,HONDA,GY,2005,2,0,0,2,0,0,0
195,HFZ8673,JEEP,GY,2016,3,0,0,0,3,0,0
196,HGE8673,,,,1,1,0,0,0,0,0
197,HGF8673,BMW,SILVE,2006,3,2,0,1,0,0,0
198,HGH8673,AUDI,GY,2012,2,0,0,0,0,2,0
199,HGR8673,HONDA,BK,0,4,1,2,1,0,0,0
200,HGU8673,BMW,WH,2016,21,0,0,17,0,4,0
201,HGZ8673,FORD,BL,2016,4,0,0,2,0,2,0
202,HHA8673,BMW,BLACK,2009.0,6,1,0,4,0,1,0
203,HHC8673,CHRYS,RD,0,2,2,0,0,0,0,0
204,HHG8673,NISSA,BK,2004,5,2,1,2,0,0,0
205,HHH8673,CHEVR,BK,2004,12,8,0,2,0,2,0
206,HHK8673,ME/BE,WH,2016,11,2,0,6,0,3,0
207,HHN8673,JEEP,BK,2016,2,0,0,2,0,0,0
208,HHT8673,ME/BE,BK,2012.0,11,11,0,0,0,0,0
209,HHV8673,CHEVR,GY,2015,1,0,0,1,0,0,0
210,HJD8673,CHEVR,GY,2016,2,0,0,1,0,1,0
211,HJJ8673,DODGE,GY,2016,1,0,0,1,0,0,0
212,HJN8673,TOYOT,BK,2012,2,2,0,0,0,0,0
213,HJP8673,HONDA,BL,0,1,0,0,1,0,0,0
214,HJR8673,NISSA,BK,2014,5,2,0,3,0,0,0
215,HJV8673,INFIN,GR,2013,10,0,7,0,0,3,0
216,HJX8673,JEEP,WHITE,2016,24,11,0,13,0,0,0
217,HJY8673,HONDA,GY,2016,3,0,0,1,2,0,0
218,HKB8673,TOYOT,GY,2007,2,2,0,0,0,0,0
219,HKD8673,HONDA,GY,2016,1,0,0,1,0,0,0
220,HKE8673,LEXUS,RD,2014,5,4,0,1,0,0,0
221,HKF8673,INFIN,BK,2014,5,1,0,0,0,4,0
222,HKK8673,CHEVR,GY,2012,1,0,0,1,0,0,0
223,HKL8673,BMW,BK,2009,9,4,0,5,0,0,0
224,HKM8673,TOYOT,GY,2007,12,8,0,0,0,4,0
225,HKZ8673,AUDI,WH,2017,1,0,0,0,0,1,0
226,HLB8673,JEEP,BK,2013,5,0,0,5,0,0,0
227,HLE8673,HYUND,GREY,2015,12,0,12,0,0,0,0
228,HLF8673,JEEP,BK,2017,1,0,0,0,0,1,0
229,HLN8673,JEEP,GRAY,2016.0,6,0,6,0,0,0,0
230,HLR8673,GMC,BK,2016,7,4,0,0,1,2,0
231,HLW8673,HONDA,WHITE,2016,31,0,0,2,0,29,0
232,HLY8673,HONDA,BL,2010,2,1,1,0,0,0,0
233,HME8673,FORD,WH,2016,1,0,0,1,0,0,0
234,HMJ8673,ME/BE,GY,2017,2,0,0,2,0,0,0
